term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
schließfächern,geh ich zu den Schließfächern.,en,Lockers,,
wegwerfen,"...den Beier einen Beutel wegwerfen sehen, in dem vielleicht...",en,"v.  discard, throw away",,
läßt,Aber Hans läßt nicht locker:,en,"v.  let, allow",,
zeitlang,...hat im Winter eine Zeitlang frei.,en,"(die) period of time, a while",,
locker,Aber Hans läßt nicht locker:,en,"loosely, freely, permissively, unrestrictively, in a slack manner",,
weitersuchen,...noch auf eigene Faust weitersuchen“ sagt Georg.,en,continue searching,,
versuch's wenigstens mal,Geh zur Polizei... Versuch's wenigstens mal!“,en,at least try it,,
spare,"...Hause, lerne Französisch und spare Geld.",en,(ich) save,,
entscheidung,...und dann an Ihrer Entscheidung auch festhalten.,en,"decision, ruling, determination, verdict, conclusion",,
entspannen,...im All-Inclusiv-Hotel entspannen.,en,"relax, be at leisure, slacken, unwind, rest",,
erneut,...mit der Pistole sagt erneut: „Schnauze!“,en,"again, once more",,
gelangweilt,...auch bei der Arbeit gelangweilt.,en,"bored, weary, disinterested",,
halt,"...Schließfach, Franz, Eingang, Telefon - halt, da steht jemand am...",en,"just, simply",,
jedoch,Das berühmteste Ausstellungsstück ist jedoch das Objekt mit der...,en,"however; though, anyway",,
daher,daher helfe ich Ihnen gerne,uk,"тому, отже, таким чином, відповідно",,
ebenso,"...der leeren Scheune treten, ebenso plötzlich, wie Staubfinger hinter...",en,likewise,,
hob,Ihr Vater hob den Kopf und blickte...,en,"raised, lifted",,
schenkte,Vor einigen Jahren schenkte sie Georg immer Schokolade.,en,"schenken: to give, to gift; to donate, to bestow; to give presents",,
erlaube,Das erlaube ich nicht.,en,allow; permit,,
nachbarschaft,"...schönen Frauen aus der Nachbarschaft, auch mit Georgs Mutter.",en,neighborhood(die),,
sprichwort,"Wenn man aber einem Sprichwort glaubt, dann hat die...",en,"saying, proverb (das)",,
neues,"Wenn es etwas Neues gibt, rufe ich dich...",en,new,,
probiert,Zuerst probiert sie Kochen.,en,"attempted, tried (probieren)",,
nachfolger,"...diesem Moment kommt Emmas Nachfolger, Oliver Hartmann, aus einem...",en,"(der)  n. successor, heir, inheritor,",,
bedeuten,...dachte: „Alle diese Dinge bedeuten Effi nicht viel.,en,"v. mean, indicate; signify",,
gestehen,"Er muss nur noch gestehen.""",uk,зізнатися,,
handeln,"...a. D., und schnell handeln!",en,"act, perform; trade, deal",,
schülerin,...Tochter ist eine gute Schülerin,en,schoolgirl,,
naturwissenschaft,Lisa mag Mathematik und Naturwissenschaft.,en,natural Science,,
genommen,einen Platz am Fenster genommen,en,(nehmen) (past part.) to take,,
geworden,und ist danach müde geworden,en,"become, grown",,
gewöhnlich,Wie gewöhnlich bin ich gestern aus...,en,"habitual, usual",,
na sowas,"Na sowas“, denkt Georg",en,Think of that!,,
hausmeister,"...denken doch nicht, der Hausmeister...""",en,"caretaker, janitor",uk,"наглядач за будинком, домоуправитель"
hinaufzusteigen,"...Wahl, außer die Treppen hinaufzusteigen.",en,to climb,,
verrieten,"Ihre braunen Augen verrieten, dass sie klug und...",en,"betrayed, revealed",,
verbrennen,...kann ich meine Kalorien verbrennen.,en,"to burn to ashes, burn down (emphasis on completion of action)",,
zum schluss,Zum Schluss hat es mich angelächelt,en,"finally, at last",,
traten,In diesem Moment traten drei junge Mädchen in...,en,"(treten) begin; step, tread",,
krauses,"...waren fröhlich und hatten krauses, rotblondes Haar.",en,"wrinkled; frizzy, fuzzy",,
geschichten,...höre ich mir einfache Geschichten an und gucke deutsche...,en,stories,,
schreibübung,aus einem Bericht einer Schreibübung speichern,en,Writing exercise(die),,
schwarzwald,in der Nähe vom Schwarzwald,en,the Black Forest,,
treppensteigen,Durch das Treppensteigen kann ich meine Kalorien...,en,"(das), stair climbing, climbing stairs",,
verbrechen,"interessiert nur, was mit Verbrechen zu tun hat",en,(das) crime,,
stufe,Ich bin jede einzelne Stufe aufgestiegen.,en,"n. step, terrace, degree, stage, level, echelon",,
hausverwaltung,Danach habe ich die Hausverwaltung angerufen.,en,(die) house management,,
höchste zeit,"Höchste Zeit, etwas zu tun!",en,"high time, time to do something that should have been done a long time ago",,
hinaufsteigen,...ich die ganzen Treppen hinaufsteigen?“ Ich hatte keine andere...,en,"ascend to, climb up to, get up to",,
was da wohl los ist,Was da wohl los ist,en,what's going on there,,
saßen,"Mutter und Tochter saßen an einem großen, runden...",en,sat,,
hinweisen,...Ihre Fehler und Probleme hinweisen.,en,"v. point out, suggest, advise",,
speichern,einem Bericht einer Schreibübung speichern,en,to save. So you will slowly develop the habit,,
träumereien,Das sind doch Träumereien,en,"(die, -en) daydreams, reveries, musings",,
farbigen,...und arbeiteten an einem farbigen Teppich.,en,colored,,
matrosenkleid,Sie trug ein Matrosenkleid.,en,sailor dress,,
lebenslustig,...dass sie klug und lebenslustig war.,en,full of life,,
glatt,"...was, das wird schon glatt gehen, du wirst sehen...",en,"(adj) smooth, even, straight (adv) smoothly",,
kunstreiterin,"Effi, du möchtest wohl Kunstreiterin werden!“, rief die Mutter.",en,"цирковая наездница, исполняющая трюки",,
vereinbaren,einen Termin beim Augenarzt vereinbaren,en,"v. arrange, organize, agree, come to an agreement,",,
aufhört,"zu sein, damit sie aufhört zu weinen",en,(er/sie/es) stop,,
schuld,Aber wer ist daran schuld?,en,"(die, -en) n. blame, guilt",,
wild,...Mama und küsste sie wild.,en,"wildly, savagely, with passion",,
verabschiede,verabschiede sie und genieße meinen,en,(ich) say goodbye,,
auswählen,"Sie können den Tutor auswählen, mit dem Sie reden...",en,"choose, select, pick, make a choice, single",,
eingestiegen,bin in den Bus eingestiegen,en,to get in,,
hineinzudenken,in die neue Sprache hineinzudenken,en,"understand, comprehend",,
geschwitzt,müde bin und deshalb geschwitzt habe,en,sweated,,
zündet,Mit zitternden Händen zündet sich Nina eine Zigarette...,en,"(es/sie/es) v. catch fire, take fire, be ignited, go up in flames; ignite, set on fire, inflame, fire",,
inhalten,"Lernen Sie von Inhalten, die Sie interessieren",en,"contents, topics, subject matters, substances",,
zweck,"Es hat natürlich keinen Zweck, darüber mit seiner Mutter...",en,(der) purpose,,
herzschlag,"...das?“ „Sie soll einen Herzschlag bekommen haben.“ „Ach, die...",en,heartbeat; heart attack (der),,
faust,...der Sache auf eigene Faust nachgehen.,en,fist,,
